"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Patricia Hubbard,"Miller and Tucker, Byrd",2,1,82629.50,41314.77,48,27,2020-05-30,2020-05-30
Patricia Hunt,"Daniel Reed and Brady,",2,1,11915.50,5957.74,70,4,2023-04-08,2023-04-08
Patricia Ingram,"Miller and Davis Brown,",1,1,29585.20,29585.24,42,3,2020-09-02,2020-09-02
Patricia Jackson,"Hale and Barry, Smith",1,1,30144.60,30144.61,77,19,2020-06-23,2020-06-23
Patricia Jackson,Jones-Burke,1,1,12767.10,12767.08,58,12,2019-06-20,2019-06-20
Patricia Jacobs,Peterson-Ford,1,1,40477.20,40477.22,80,8,2023-03-17,2023-03-17
Patricia Jenkins,Fitzpatrick-Perez,1,1,8817.66,8817.66,69,18,2020-10-02,2020-10-02
Patricia Jennings,Garcia-Moore,2,1,40423.10,20211.55,65,4,2021-07-20,2021-07-20
Patricia Jones,Ltd Marsh,1,1,16441.70,16441.68,62,7,2023-02-18,2023-02-18
Patricia Jones,PLC Hicks,1,1,20308.40,20308.42,31,28,2021-05-25,2021-05-25
Patricia Kelly,West-Atkinson,1,1,36213.60,36213.65,67,18,2021-09-10,2021-09-10
Patricia Kidd,Peterson Group,1,1,47789.80,47789.83,27,27,2020-12-30,2020-12-30
Patricia King,Wong-Sutton,1,1,36381.30,36381.31,83,7,2022-01-16,2022-01-16
Patricia Kirk,Spencer-Carr,1,1,39941.90,39941.92,36,28,2023-01-13,2023-01-13
Patricia Knight,"Mccarthy Long, Stephens and",2,1,20800.00,10400.02,44,3,2019-11-05,2019-11-05
Patricia Lane,"Wolf Lewis, and Griffin",1,1,14656.70,14656.71,60,8,2023-06-10,2023-06-10
Patricia Larsen,"Holmes and Smith Ortiz,",1,1,22806.60,22806.64,77,26,2023-08-09,2023-08-09
Patricia Lee,"Hicks Flores and Parker,",1,1,33378.00,33378.04,67,29,2021-07-04,2021-07-04
Patricia Lewis,"and Gates Patel Peck,",1,1,32859.20,32859.19,84,21,2021-02-12,2021-02-12
Patricia Li DVM,"and Hendricks Page Li,",1,1,21060.60,21060.58,82,25,2023-01-18,2023-01-18
Patricia Lopez,"Orozco, Davis and Bryant",1,1,46104.30,46104.27,39,12,2019-10-06,2019-10-06
Patricia Lopez,"Thomas Baker, Hinton and",1,1,40427.30,40427.30,83,27,2023-07-25,2023-07-25
Patricia Lopez,"Wilson, and Little Sanders",2,1,66962.30,33481.17,83,19,2021-01-28,2021-01-28
Patricia Macias,Franco LLC,1,1,37570.40,37570.37,76,20,2021-01-31,2021-01-31
Patricia Mack,"Barnes, and Martin Perez",1,1,6679.46,6679.46,19,26,2024-01-16,2024-01-16
Patricia Mann,Brown-Nelson,2,1,47942.20,23971.12,42,16,2024-04-30,2024-04-30
Patricia Martin,"and Shaffer Jackson Mcmillan,",1,1,3438.97,3438.97,82,22,2020-10-19,2020-10-19
Patricia Martin,"Cordova and Thomas Warren,",2,1,3670.48,1835.24,58,13,2021-11-21,2021-11-21
Patricia Mason,Clark Inc,1,1,6325.96,6325.96,56,18,2022-01-10,2022-01-10
Patricia Mata,"Jackson Carrillo, and Sims",2,1,99729.40,49864.70,61,10,2020-05-15,2020-05-15
Patricia Mcdaniel,"and Vargas English Johnson,",1,1,2507.27,2507.27,85,22,2022-01-01,2022-01-01
Patricia Mcdonald,Brewer-Lee,1,1,44785.90,44785.89,24,21,2020-10-30,2020-10-30
Patricia Mcmahon,Young-Williams,1,1,9965.96,9965.96,42,6,2023-07-29,2023-07-29
Patricia Mendez,"Williams Cervantes, Alexander and",1,1,13955.30,13955.31,65,13,2022-11-13,2022-11-13
Patricia Miller,Ford-Owens,1,1,41459.40,41459.41,38,26,2023-09-07,2023-09-07
Patricia Moore,Hardy Inc,1,1,7858.93,7858.93,22,28,2023-04-16,2023-04-16
Patricia Moore,Smith-Aguirre,1,1,27252.60,27252.61,55,14,2020-01-01,2020-01-01
Patricia Morales,"Snyder, Underwood Reed and",1,1,36067.70,36067.70,20,15,2022-08-25,2022-08-25
Patricia Morris,Bailey-Smith,2,1,32372.30,16186.15,39,14,2020-04-20,2020-04-20
Patricia Morrison,"West and Vincent Murray,",1,1,17163.80,17163.81,47,11,2022-10-08,2022-10-08
Patricia Mullins,Reilly Group,1,1,17773.00,17773.01,22,16,2023-02-13,2023-02-13
Patricia Munoz,Thomas-Schneider,1,1,8267.94,8267.94,59,3,2021-03-11,2021-03-11
Patricia Murphy,PLC Garza,1,1,20153.60,20153.59,36,29,2023-08-03,2023-08-03
Patricia Nichols,"and Smith, Soto Rogers",1,1,23156.60,23156.60,18,10,2022-05-19,2022-05-19
Patricia Nielsen,Martin-Bowman,2,1,96772.10,48386.06,38,19,2019-10-24,2019-10-24
Patricia Norman,"Trujillo and Miller, Brown",2,1,12213.10,6106.55,60,27,2020-12-27,2020-12-27
Patricia Norris,and Lambert Sons,1,1,13936.60,13936.60,47,3,2020-11-01,2020-11-01
Patricia Olson,"and Nguyen, Williams Holmes",1,1,13309.30,13309.29,21,19,2023-01-28,2023-01-28
Patricia Olson,Ltd Zuniga,2,1,28061.10,14030.54,39,22,2022-07-16,2022-07-16
Patricia Owen,Kaiser-Wilson,1,1,14247.50,14247.53,53,28,2024-01-22,2024-01-22
Patricia Pacheco,"Dennis, Mclaughlin Jackson and",2,1,65579.10,32789.54,58,23,2023-12-17,2023-12-17
Patricia Perez,Cruz Inc,2,1,35716.40,17858.19,29,15,2019-06-12,2019-06-12
Patricia Perkins,Schultz-Anderson,1,1,27398.30,27398.27,75,16,2023-07-23,2023-07-23
Patricia Peters,"Clark and Forbes Smith,",1,1,3884.24,3884.24,34,1,2021-06-09,2021-06-09
Patricia Peters,Lozano-Preston,1,1,14096.30,14096.26,63,4,2022-04-18,2022-04-18
Patricia Phillips,PLC Woods,2,1,6196.96,3098.48,53,22,2023-05-18,2023-05-18
Patricia Poole,"Taylor, Ross and Jones",1,1,21622.90,21622.88,46,6,2022-02-09,2022-02-09
Patricia Powell,Camacho-Riley,1,1,19054.70,19054.66,19,1,2020-02-13,2020-02-13
Patricia Randolph,"and Moody, Cochran Alexander",1,1,44470.70,44470.71,52,25,2023-05-21,2023-05-21
Patricia Reed,Parker LLC,1,1,41262.60,41262.61,42,9,2022-02-24,2022-02-24
Patricia Reeves,Thompson-Hubbard,1,1,36136.70,36136.73,26,9,2022-04-30,2022-04-30
Patricia Reyes,"Wolf, Ramirez Campbell and",1,1,7457.32,7457.32,68,16,2021-04-28,2021-04-28
Patricia Reynolds,Greene-Huber,2,1,42260.80,21130.42,48,3,2022-07-24,2022-07-24
Patricia Richardson,"and Roman Kim Martin,",1,1,18988.10,18988.06,35,19,2020-08-03,2020-08-03
Patricia Rios,Miller-Klein,1,1,22791.60,22791.61,24,12,2022-07-27,2022-07-27
Patricia Rivas,Perez Ltd,1,1,4566.56,4566.56,82,20,2024-01-25,2024-01-25
Patricia Roberson,"Wyatt, and Phillips Weaver",1,1,28955.70,28955.66,53,3,2020-01-05,2020-01-05
Patricia Rodriguez,Bradley-Glover,1,1,13505.20,13505.24,66,15,2021-07-21,2021-07-21
Patricia Rodriguez,"Osborne Smith, Young and",1,1,386.86,386.86,18,5,2023-09-08,2023-09-08
Patricia Rodriguez,Tucker-Conley,2,1,16384.10,8192.04,35,11,2021-12-25,2021-12-25
Patricia Ryan,Inc Newman,1,1,24422.80,24422.80,62,20,2019-11-19,2019-11-19
Patricia Sampson,"and Hall Heath, Morris",1,1,19742.60,19742.64,48,20,2020-07-10,2020-07-10
Patricia Sanchez,Prince-Wheeler,1,1,14036.40,14036.43,64,14,2020-07-17,2020-07-17
Patricia Sandoval,"Clements and Hunt Lewis,",1,1,34502.10,34502.06,63,1,2019-09-02,2019-09-02
Patricia Schwartz,Mccoy-Anderson,1,1,17598.00,17598.03,66,27,2020-02-07,2020-02-07
Patricia Shah,Group Duarte,1,1,32473.60,32473.62,63,26,2022-05-04,2022-05-04
Patricia Shaw,"Holloway, Gonzales Wood and",1,1,29142.30,29142.33,82,20,2023-02-26,2023-02-26
Patricia Shields,"Stewart Armstrong, and Brown",1,1,38842.40,38842.43,55,14,2020-02-21,2020-02-21
Patricia Simpson,Richards-Marshall,1,1,24265.10,24265.06,80,4,2023-05-18,2023-05-18
Patricia Small,Johnson-Johnston,1,1,10158.50,10158.52,63,8,2021-12-28,2021-12-28
Patricia Smith,Ferguson-Johnson,2,1,16085.30,8042.66,24,18,2020-02-20,2020-02-20
Patricia Smith,Harris-Bowers,1,1,43128.50,43128.51,76,11,2019-10-04,2019-10-04
Patricia Smith,Kelly-Ballard,2,1,18352.80,9176.41,32,11,2020-12-08,2020-12-08
Patricia Smith,Kline-Sutton,2,1,38945.80,19472.91,76,4,2021-07-10,2021-07-10
Patricia Smith,"Ramirez, Torres Brown and",1,1,6934.02,6934.02,78,20,2020-06-08,2020-06-08
Patricia Smith,Short-Gallagher,1,1,44231.40,44231.44,29,23,2024-04-24,2024-04-24
Patricia Smith,White Inc,1,1,30988.80,30988.78,68,15,2022-05-12,2022-05-12
Patricia Sparks,"Hart Rogers Myers, and",1,1,25088.90,25088.95,70,22,2019-09-26,2019-09-26
Patricia Steele,Lozano-Garrison,1,1,34189.30,34189.28,54,14,2023-12-30,2023-12-30
Patricia Stephens,Riley Ltd,1,1,32908.30,32908.26,53,20,2019-07-08,2019-07-08
Patricia Stokes,Crawford-Schmidt,1,1,9404.78,9404.78,57,27,2022-12-30,2022-12-30
Patricia Stone,"and White Smith, Walls",1,1,29032.20,29032.24,19,14,2020-05-04,2020-05-04
Patricia Stone,Soto-Meyers,1,1,18202.50,18202.53,57,2,2019-09-20,2019-09-20
Patricia Sullivan,"Benton and Waller Martinez,",1,1,12920.30,12920.33,21,28,2020-04-04,2020-04-04
Patricia Sullivan,Hughes Sons and,1,1,42567.90,42567.85,47,11,2020-07-02,2020-07-02
Patricia Taylor,and Sons Thomas,1,1,34902.70,34902.70,58,4,2024-04-03,2024-04-03
Patricia Taylor,"Ramirez Clarke Maynard, and",1,1,44588.50,44588.46,37,26,2021-04-09,2021-04-09
Patricia Taylor,"Scott, Smith and Koch",1,1,20147.90,20147.95,44,3,2024-01-29,2024-01-29
Patricia Thomas,Quinn-Page,1,1,29285.10,29285.09,19,6,2024-02-25,2024-02-25
Patricia Thompson,Ibarra-Gomez,2,1,71727.60,35863.80,65,19,2021-07-18,2021-07-18
Patricia Thornton,Stephenson-Martinez,1,1,47089.90,47089.89,55,27,2023-10-18,2023-10-18
Patricia Tucker,Robinson-Mcgrath,1,1,26687.20,26687.24,85,30,2020-03-21,2020-03-21
Patricia Valentine,Downs-Stephens,2,1,9018.80,4509.40,85,18,2022-01-18,2022-01-18
Patricia Valenzuela,Martinez-Martinez,1,1,16495.40,16495.37,44,1,2021-11-28,2021-11-28
Patricia Vazquez,Garcia-Grant,2,1,94206.70,47103.35,27,26,2020-01-31,2020-01-31
Patricia Wagner,Best-Ramsey,1,1,50658.50,50658.53,76,29,2021-02-25,2021-02-25
Patricia Walker,Smith LLC,1,1,21650.80,21650.84,54,21,2021-09-15,2021-09-15
Patricia Weiss,"Rodriguez, Serrano and Johnson",1,1,28750.90,28750.92,82,23,2022-05-09,2022-05-09
Patricia Whitaker,Group Kelley,1,1,28698.10,28698.09,48,9,2020-02-28,2020-02-28
Patricia Wiggins,and Olsen Sons,1,1,31667.10,31667.12,66,3,2020-03-29,2020-03-29
Patricia Williams,"Stephens and Clark, Mann",1,1,6631.13,6631.13,74,11,2022-01-08,2022-01-08
Patricia Wilson,Bailey PLC,1,1,17354.80,17354.82,54,25,2021-12-20,2021-12-20
Patricia Wilson,Bradley-Thompson,2,1,71777.60,35888.81,26,2,2021-12-27,2021-12-27
Patricia Wilson,Bryan LLC,1,1,23389.30,23389.27,77,13,2021-05-03,2021-05-03
Patricia Wilson,LLC Ramirez,1,1,32697.20,32697.19,27,9,2020-05-16,2020-05-16
Patricia Wilson,Robertson LLC,1,1,32922.50,32922.50,84,10,2024-02-09,2024-02-09
Patricia York,Cain Group,1,1,13265.70,13265.73,32,4,2023-04-21,2023-04-21
Patrick Aguirre,"Taylor, and Alexander Pratt",1,1,3616.97,3616.97,25,17,2023-08-27,2023-08-27
Patrick Alexander,and Sons Long,1,1,47697.50,47697.49,48,12,2022-09-30,2022-09-30
Patrick Allen,"Walls Dean, and Lewis",1,1,21777.90,21777.86,61,20,2024-01-17,2024-01-17
Patrick Arias,Walker PLC,1,1,31948.00,31948.02,35,8,2022-06-14,2022-06-14
Patrick Bell,Carter LLC,1,1,6173.54,6173.54,45,9,2021-10-15,2021-10-15
Patrick Benson,"Romero and Richardson Meyer,",1,1,42465.20,42465.24,47,9,2023-03-05,2023-03-05
Patrick Bentley,Scott PLC,1,1,36313.80,36313.75,78,16,2020-02-02,2020-02-02
Patrick Berry,"Lewis Nelson, Bailey and",1,1,25777.40,25777.41,21,2,2020-01-16,2020-01-16
Patrick Best,Group Simpson,1,1,44075.50,44075.49,66,3,2023-04-11,2023-04-11
Patrick Blanchard,Sons and Silva,1,1,42507.80,42507.77,41,22,2022-08-04,2022-08-04
Patrick Boyd,Klein LLC,1,1,11114.20,11114.16,23,13,2021-08-27,2021-08-27
Patrick Boyd,Sons and Oliver,1,1,12468.70,12468.65,74,1,2022-12-05,2022-12-05
Patrick Boyd,Thomas-Lee,1,1,27404.10,27404.14,59,12,2021-01-28,2021-01-28
Patrick Brown,Sanchez-Hernandez,1,1,14276.50,14276.47,51,22,2022-07-10,2022-07-10
Patrick Bryant,Ferguson Group,1,1,8900.99,8900.99,49,25,2020-02-12,2020-02-12
Patrick Burgess,Lawrence-Ferguson,1,1,34731.00,34731.02,68,11,2020-04-27,2020-04-27
Patrick Burns,"Nelson Walker Myers, and",1,1,6767.63,6767.63,24,5,2022-04-08,2022-04-08
Patrick Carter,Cline-Carpenter,1,1,23499.90,23499.94,22,16,2022-08-22,2022-08-22
Patrick Castro,"and Young Knight, Butler",1,1,27245.50,27245.47,32,29,2020-08-17,2020-08-17
Patrick Clark,Thompson Inc,1,1,25765.80,25765.76,71,16,2019-06-25,2019-06-25
Patrick Clark,Watkins-Singleton,1,1,25415.30,25415.32,40,26,2022-01-18,2022-01-18
Patrick Clay,"Singleton and Davis Lynn,",1,1,44283.60,44283.56,75,26,2023-05-14,2023-05-14
Patrick Collins,Garcia-Dougherty,2,1,49928.60,24964.30,61,23,2022-02-08,2022-02-08
Patrick Colon,Group Huang,1,1,28307.20,28307.19,74,24,2020-01-04,2020-01-04
Patrick Cook,Myers LLC,1,1,7236.26,7236.26,36,13,2020-12-28,2020-12-28
Patrick Daniels,Griffith Group,1,1,33497.50,33497.49,36,23,2021-06-19,2021-06-19
Patrick Dyer,PLC Webster,1,1,23212.80,23212.76,28,3,2023-08-25,2023-08-25
Patrick Ellis,and Sons Rodriguez,1,1,2149.23,2149.23,25,28,2023-12-24,2023-12-24
Patrick Evans,Hall-Patton,1,1,35947.30,35947.32,50,26,2020-02-29,2020-02-29
Patrick Fernandez,LLC Wells,1,1,34916.90,34916.92,63,4,2023-11-03,2023-11-03
Patrick Flores,Allen-Mckee,1,1,1419.36,1419.36,53,1,2023-01-16,2023-01-16
Patrick Forbes,LLC Garcia,1,1,9934.68,9934.68,26,19,2020-01-14,2020-01-14
Patrick Frazier,"Henson Smith Lester, and",1,1,19951.50,19951.50,50,12,2020-01-24,2020-01-24
Patrick Frederick,Wood Inc,2,1,34379.70,17189.84,45,4,2023-01-03,2023-01-03
Patrick Frost,Stevenson-Lawrence,2,1,15610.50,7805.27,32,11,2020-01-04,2020-01-04
Patrick Fuller,"Giles, Thomas and Salas",1,1,32494.20,32494.23,23,5,2023-07-06,2023-07-06
Patrick Gallagher,Chang-Myers,1,1,17811.60,17811.55,27,29,2021-07-21,2021-07-21
Patrick Garcia MD,Sanchez Inc,1,1,26348.90,26348.93,81,4,2022-12-18,2022-12-18
Patrick Gardner,"and Lopez Singleton Boyle,",1,1,13114.90,13114.91,33,24,2019-05-29,2019-05-29
Patrick Garner,Taylor LLC,1,1,21415.90,21415.94,51,14,2020-06-17,2020-06-17
Patrick Gibson,Adkins Inc,1,1,45899.80,45899.81,38,30,2019-06-24,2019-06-24
Patrick Gomez,"Matthews Hunt, Kelly and",1,1,9677.54,9677.54,62,19,2021-04-22,2021-04-22
Patrick Gonzalez,Hale-Anderson,2,1,79984.80,39992.39,52,16,2020-10-13,2020-10-13
Patrick Gray,Conner-Ortiz,1,1,6399.78,6399.78,74,12,2021-11-05,2021-11-05
Patrick Green,"Jackson, Griffith and Conner",1,1,15819.90,15819.88,85,8,2019-11-04,2019-11-04
Patrick Green,Martin Inc,1,1,9447.85,9447.85,37,13,2023-12-14,2023-12-14
Patrick Greene,"Wells and Russell, May",1,1,6478.57,6478.57,37,5,2023-01-19,2023-01-19
Patrick Greer,James-Collins,1,1,41660.30,41660.27,22,16,2020-08-04,2020-08-04
Patrick Griffin,Long LLC,1,1,21038.80,21038.84,20,8,2020-11-17,2020-11-17
Patrick Gutierrez,Hernandez-Gaines,1,1,36162.10,36162.06,31,20,2020-12-08,2020-12-08
Patrick Hale,"Shepherd Andrews Turner, and",2,1,68445.70,34222.83,81,27,2020-11-05,2020-11-05
Patrick Hammond,Lawson LLC,1,1,41443.60,41443.63,29,8,2019-07-10,2019-07-10
Patrick Harris,Baker-Wagner,1,1,8526.86,8526.86,76,4,2019-09-24,2019-09-24
Patrick Harris,"Jimenez Collins and Wilson,",1,1,25054.40,25054.39,23,2,2019-06-26,2019-06-26
Patrick Harrison,"Fischer, Hardy Martinez and",1,1,26494.60,26494.61,24,14,2022-05-24,2022-05-24
Patrick Hart,"Johnson Baker, and Allison",2,1,30953.90,15476.97,43,30,2020-04-08,2020-04-08
Patrick Hart,"Williams Smith, Henderson and",1,1,2774.37,2774.37,48,17,2020-07-02,2020-07-02
Patrick Hill,"Reid Liu, Jenkins and",2,1,25576.70,12788.36,72,8,2023-07-20,2023-07-20
Patrick Horton,"Rogers, Carrillo Jones and",1,1,16197.50,16197.49,23,4,2024-04-07,2024-04-07
Patrick Humphrey,Yang-Hunt,1,1,21152.30,21152.34,20,23,2023-12-17,2023-12-17
Patrick Jackson,Harris-Ortiz,2,1,84997.10,42498.53,31,14,2019-08-22,2019-08-22
Patrick Johnson,Alvarado-Elliott,1,1,8415.98,8415.98,76,3,2023-01-03,2023-01-03
Patrick Johnson,"Guzman, and Krause Gray",1,1,29194.70,29194.69,73,1,2022-12-24,2022-12-24
Patrick Johnson,Hoover LLC,2,1,56409.30,28204.63,73,9,2024-01-12,2024-01-12
Patrick Johnson,Inc Long,1,1,41895.20,41895.17,77,16,2022-08-07,2022-08-07
Patrick Johnson,Mitchell-Parker,1,1,49647.10,49647.14,85,25,2020-12-25,2020-12-25
Patrick Johnson,"Simon and Perkins, Smith",1,1,49501.40,49501.40,78,17,2020-03-21,2020-03-21
Patrick Johnson,White Group,1,1,8576.75,8576.75,84,26,2024-04-10,2024-04-10
Patrick Jones,"Evans Young, and Watson",1,1,16589.60,16589.58,64,6,2020-09-20,2020-09-20
Patrick Juarez,Beck-Romero,1,1,33789.70,33789.70,23,25,2019-09-21,2019-09-21
Patrick Kennedy,"Castillo and Johnson, Adkins",1,1,990.02,990.02,54,18,2021-12-28,2021-12-28
Patrick King,"Rivera, Martinez and Davis",1,1,8277.20,8277.20,80,22,2020-07-23,2020-07-23
Patrick Lee,Maldonado-Bryan,1,1,49528.70,49528.69,65,21,2022-06-17,2022-06-17
Patrick Lee,"Martinez and Farley, Davidson",1,1,2091.41,2091.41,58,10,2021-07-13,2021-07-13
Patrick Lewis,Cannon Group,1,1,40501.40,40501.43,76,15,2021-11-21,2021-11-21
Patrick Lopez,Brown LLC,1,1,6957.78,6957.78,62,25,2021-03-05,2021-03-05
Patrick Love,Collins-Dixon,1,1,32242.30,32242.26,80,20,2019-05-10,2019-05-10
Patrick Lowery,Moore-Maldonado,1,1,1394.42,1394.42,27,20,2021-12-01,2021-12-01
Patrick Lutz,PLC Russell,1,1,39917.30,39917.27,57,7,2023-09-30,2023-09-30
Patrick Macias,Crawford-Johnson,1,1,24259.80,24259.81,83,4,2020-11-26,2020-11-26
Patrick Maddox,Brandt and Sons,2,1,70750.50,35375.26,31,20,2020-06-16,2020-06-16
Patrick Manning,Cervantes-Morrison,1,1,14364.10,14364.12,70,2,2022-05-07,2022-05-07
Patrick Martinez,"Clark Oliver and Jones,",1,1,24519.00,24519.03,57,3,2024-01-16,2024-01-16
Patrick Maxwell,King-Santiago,2,1,90021.70,45010.83,19,26,2020-04-03,2020-04-03
Patrick Mcdonald,Brown Sons and,1,1,36517.50,36517.52,18,27,2019-06-07,2019-06-07
Patrick Mckee,Phillips Ltd,2,1,19803.90,9901.96,77,19,2019-10-22,2019-10-22
Patrick Mckenzie,Goodman-Gonzales,1,1,4093.01,4093.01,48,24,2022-03-02,2022-03-02
Patrick Mcmahon,"Harris and Holland, Vargas",1,1,1807.99,1807.99,34,23,2023-09-27,2023-09-27
Patrick Medina,Ali Group,1,1,19720.00,19720.04,49,1,2019-11-29,2019-11-29
Patrick Melton,Smith PLC,1,1,12320.90,12320.89,64,29,2019-09-02,2019-09-02
Patrick Miller,"and Bowen, Rhodes Little",1,1,42733.40,42733.35,32,7,2023-11-13,2023-11-13
Patrick Miller,Gomez-Mitchell,1,1,10595.50,10595.52,33,5,2023-03-10,2023-03-10
Patrick Miller,"Robinson and Church Curtis,",1,1,41612.70,41612.73,49,17,2021-03-24,2021-03-24
Patrick Mitchell,Lee Inc,1,1,11120.20,11120.21,42,26,2022-06-01,2022-06-01
Patrick Morales,"Pratt and Keller, Davis",2,1,64174.00,32086.98,25,11,2022-03-28,2022-03-28
Patrick Moran,"Holmes Reed and Johnson,",1,1,9492.23,9492.23,70,23,2019-08-19,2019-08-19
Patrick Mullen,Trujillo Inc,1,1,11923.30,11923.30,73,17,2021-12-30,2021-12-30
Patrick Murray,"and Hoffman, Christian Hunt",1,1,3176.66,3176.66,24,18,2019-09-16,2019-09-16
Patrick Murray,Blackburn LLC,1,1,10110.40,10110.40,73,2,2023-07-09,2023-07-09
Patrick Myers,Romero-King,1,1,14345.10,14345.08,85,17,2019-07-06,2019-07-06
Patrick Nicholson,"Ramirez Avery Obrien, and",2,1,22922.60,11461.28,56,6,2019-08-10,2019-08-10
Patrick Ochoa,Ballard PLC,1,1,4266.78,4266.78,36,21,2020-12-19,2020-12-19
Patrick Palmer,"Stephenson, Nguyen Martinez and",1,1,41512.60,41512.61,73,8,2023-06-10,2023-06-10
Patrick Parker,PLC Vega,1,1,9342.36,9342.36,24,16,2022-07-21,2022-07-21
Patrick Parrish,"and Campbell, Wiley Cook",1,1,41454.70,41454.68,27,25,2022-11-06,2022-11-06
Patrick Patel,Hughes-Duke,1,1,18831.20,18831.17,28,11,2022-03-19,2022-03-19
Patrick Payne,Inc Nunez,1,1,20433.30,20433.34,67,1,2022-09-01,2022-09-01
Patrick Perez,"Rich and Morris, Phillips",1,1,6985.22,6985.22,70,15,2022-01-17,2022-01-17
Patrick Perez,Rollins-Aguilar,1,1,25043.50,25043.54,73,12,2019-10-30,2019-10-30
Patrick Peterson,PLC Pierce,1,1,26144.00,26144.01,67,21,2019-10-11,2019-10-11
Patrick Proctor,"Brown and Gregory, Rose",1,1,34617.70,34617.68,75,16,2020-01-02,2020-01-02
Patrick Ramos,"Johnson, Baldwin and Cole",2,1,3977.06,1988.53,84,27,2021-08-02,2021-08-02
Patrick Reed,and Suarez Sons,1,1,42014.10,42014.05,22,4,2021-04-08,2021-04-08
Patrick Reeves,Leonard Ltd,1,1,42486.90,42486.89,54,7,2021-03-09,2021-03-09
Patrick Reeves,"Vasquez Smith, Allison and",1,1,18106.30,18106.34,55,9,2019-09-25,2019-09-25
Patrick Reynolds,PLC Hart,2,1,26512.50,13256.24,82,5,2020-09-01,2020-09-01
Patrick Richardson,"Blackburn Peterson, and Terry",1,1,3142.85,3142.85,19,3,2020-09-07,2020-09-07
Patrick Robbins,Brown LLC,1,1,47449.60,47449.62,57,6,2019-05-11,2019-05-11
Patrick Robinson,"Padilla, Rivera Dean and",1,1,43679.20,43679.22,78,6,2022-05-30,2022-05-30
Patrick Robinson,Thomas-Krause,1,1,31660.40,31660.39,45,19,2023-12-05,2023-12-05
Patrick Robles,"and Rodriguez, Lucas Frank",1,1,36147.40,36147.41,26,30,2022-12-09,2022-12-09
Patrick Rodriguez,Inc Smith,1,1,30633.80,30633.75,80,7,2021-05-03,2021-05-03
Patrick Rodriguez,Stafford LLC,1,1,30802.60,30802.57,78,15,2024-02-03,2024-02-03
Patrick Ross,"Lee Pugh, and Orozco",1,1,26660.40,26660.45,19,26,2020-06-27,2020-06-27
Patrick Salazar,Jackson Sons and,1,1,3639.63,3639.63,24,1,2020-06-24,2020-06-24
Patrick Sanford,Allen-Moore,2,1,57360.80,28680.41,30,15,2021-06-19,2021-06-19
Patrick Schwartz,Macias Ltd,1,1,45482.00,45481.98,52,6,2021-06-07,2021-06-07
Patrick Sharp,"Hall, and Cole Carpenter",1,1,50033.50,50033.53,73,9,2020-08-20,2020-08-20
Patrick Shelton,Hancock and Sons,2,1,76963.40,38481.71,85,10,2022-10-19,2022-10-19
Patrick Simpson,Group Hebert,1,1,30832.20,30832.19,79,6,2020-03-20,2020-03-20
Patrick Sims,Kim Group,1,1,30827.10,30827.13,41,12,2020-07-05,2020-07-05
Patrick Singh,Ltd Young,1,1,23169.80,23169.75,53,7,2020-01-01,2020-01-01
Patrick Smith,"Boyd, Gamble and Cruz",1,1,17600.50,17600.49,63,14,2022-09-16,2022-09-16
Patrick Smith,Norman Ltd,2,1,86604.00,43302.01,28,6,2021-10-18,2021-10-18
Patrick Smith,Pierce-Thompson,1,1,12725.60,12725.56,26,3,2022-06-01,2022-06-01
Patrick Smith,Reed-Maddox,1,1,27129.70,27129.73,64,15,2022-05-12,2022-05-12
Patrick Smith,Russell LLC,1,1,7080.91,7080.91,66,25,2022-07-02,2022-07-02
Patrick Sosa,Thomas Inc,1,1,22098.50,22098.47,49,23,2023-01-09,2023-01-09
Patrick Spencer,Sons and Guzman,2,1,52299.60,26149.82,45,2,2020-02-14,2020-02-14
Patrick Stanley,"Hinton Blevins and Sutton,",2,1,13597.40,6798.69,58,20,2019-06-30,2019-06-30
Patrick Stevens,"and Pena Pierce Salazar,",1,1,21324.70,21324.71,73,30,2019-06-09,2019-06-09
Patrick Stevens,Carney-Johnson,1,1,17515.90,17515.87,65,30,2019-06-02,2019-06-02
Patrick Stevens,Hunter-Hall,1,1,18172.50,18172.47,72,22,2020-07-31,2020-07-31
Patrick Stevenson,"Wade Pearson Murphy, and",1,1,39276.50,39276.54,44,7,2023-11-10,2023-11-10
Patrick Stewart,LLC Harper,1,1,18962.90,18962.91,48,18,2022-03-09,2022-03-09
Patrick Stewart,Young-Raymond,1,1,36496.10,36496.08,35,12,2022-11-15,2022-11-15
Patrick Taylor,Lawrence-Johnson,1,1,3498.69,3498.69,78,23,2021-02-15,2021-02-15
Patrick Thompson,Jones Group,1,1,29400.90,29400.90,32,24,2022-12-12,2022-12-12
Patrick Torres,"Figueroa Hawkins and Zimmerman,",1,1,7121.05,7121.05,24,29,2022-06-06,2022-06-06
Patrick Walker,Wilson PLC,1,1,43477.80,43477.76,65,20,2024-02-14,2024-02-14
Patrick Walters,"Washington and Snyder Cooper,",1,1,35114.00,35113.97,72,8,2024-02-09,2024-02-09
Patrick Ward,Sons and Myers,1,1,28821.40,28821.41,71,25,2020-03-19,2020-03-19
Patrick Watson,"Williams Wallace, Thompson and",1,1,39651.40,39651.40,30,6,2023-02-03,2023-02-03
